TestID,RunID,SA_SideNum,SA_InFifoDepth,SA_OutFifoDepth,SA_InstFifoDepth,activationOutFifoDepth,slicedInstFifoDepth,numCores,TotalCycles,CyclesPerTest,FLOPSPerCycle,Status,ErrorMessage
117,1,8,16,16,16,64,16,4,73596,1471.92,110.09989673351812,Success,
119,1,8,16,16,64,64,16,4,73052,1461.04,110.9197831681542,Success,
121,1,8,32,16,16,32,16,1,112295,2245.9,72.15737120976,Success,
123,1,8,32,16,64,32,16,1,112295,2245.9,72.15737120976,Success,
125,1,8,32,16,16,32,16,2,75104,1502.08,107.88922028121006,Success,
127,1,8,32,16,64,32,16,2,74708,1494.16,108.46110189002516,Success,
129,1,8,32,16,16,32,16,4,73596,1471.92,110.09989673351812,Success,
131,1,8,32,16,64,32,16,4,73052,1461.04,110.9197831681542,Success,
133,1,8,32,16,16,64,16,1,112295,2245.9,72.15737120976,Success,
135,1,8,32,16,64,64,16,1,112295,2245.9,72.15737120976,Success,
137,1,8,32,16,16,64,16,2,75104,1502.08,107.88922028121006,Success,
139,1,8,32,16,64,64,16,2,74708,1494.16,108.46110189002516,Success,
141,1,8,32,16,16,64,16,4,73596,1471.92,110.09989673351812,Success,
143,1,8,32,16,64,64,16,4,73052,1461.04,110.9197831681542,Success,
145,1,8,8,32,16,32,16,1,113931,2278.62,71.12122249431674,Success,
147,1,8,8,32,64,32,16,1,113931,2278.62,71.12122249431674,Success,
149,1,8,8,32,16,32,16,2,75104,1502.08,107.88922028121006,Success,
151,1,8,8,32,64,32,16,2,73324,1466.48,110.50831924063063,Success,
153,1,8,8,32,16,32,16,4,73596,1471.92,110.09989673351812,Success,
155,1,8,8,32,64,32,16,4,73052,1461.04,110.9197831681542,Success,
157,1,8,8,32,16,64,16,1,113931,2278.62,71.12122249431674,Success,
159,1,8,8,32,64,64,16,1,113931,2278.62,71.12122249431674,Success,
161,1,8,8,32,16,64,16,2,75104,1502.08,107.88922028121006,Success,
163,1,8,8,32,64,64,16,2,73324,1466.48,110.50831924063063,Success,
165,1,8,8,32,16,64,16,4,73596,1471.92,110.09989673351812,Success,
167,1,8,8,32,64,64,16,4,73052,1461.04,110.9197831681542,Success,
169,1,8,16,32,16,32,16,1,112475,2249.5,72.04189375416759,Success,
171,1,8,16,32,64,32,16,1,112475,2249.5,72.04189375416759,Success,
173,1,8,16,32,16,32,16,2,75104,1502.08,107.88922028121006,Success,
175,1,8,16,32,64,32,16,2,73284,1465.68,110.56863708312865,Success,
177,1,8,16,32,16,32,16,4,73596,1471.92,110.09989673351812,Success,
179,1,8,16,32,64,32,16,4,73052,1461.04,110.9197831681542,Success,
181,1,8,16,32,16,64,16,1,112475,2249.5,72.04189375416759,Success,
183,1,8,16,32,64,64,16,1,112475,2249.5,72.04189375416759,Success,
185,1,8,16,32,16,64,16,2,75104,1502.08,107.88922028121006,Success,
187,1,8,16,32,64,64,16,2,73284,1465.68,110.56863708312865,Success,
189,1,8,16,32,16,64,16,4,73596,1471.92,110.09989673351812,Success,
191,1,8,16,32,64,64,16,4,73052,1461.04,110.9197831681542,Success,
193,1,8,32,32,16,32,16,1,112295,2245.9,72.15737120976,Success,
195,1,8,32,32,64,32,16,1,112295,2245.9,72.15737120976,Success,
197,1,8,32,32,16,32,16,2,75104,1502.08,107.88922028121006,Success,
199,1,8,32,32,64,32,16,2,73204,1464.08,110.68947052073658,Success,
201,1,8,32,32,16,32,16,4,73596,1471.92,110.09989673351812,Success,
203,1,8,32,32,64,32,16,4,73052,1461.04,110.9197831681542,Success,
205,1,8,32,32,16,64,16,1,112295,2245.9,72.15737120976,Success,
207,1,8,32,32,64,64,16,1,112295,2245.9,72.15737120976,Success,
209,1,8,32,32,16,64,16,2,75104,1502.08,107.88922028121006,Success,
211,1,8,32,32,64,64,16,2,73204,1464.08,110.68947052073658,Success,
213,1,8,32,32,16,64,16,4,73596,1471.92,110.09989673351812,Success,
215,1,8,32,32,64,64,16,4,73052,1461.04,110.9197831681542,Success,
217,1,8,8,8,16,32,64,1,113931,2278.62,71.12122249431674,Success,
219,1,8,8,8,64,32,64,1,113931,2278.62,71.12122249431674,Success,
221,1,8,8,8,16,32,64,2,75768,1515.36,106.94372294372295,Success,
223,1,8,8,8,64,32,64,2,75768,1515.36,106.94372294372295,Success,
225,1,8,8,8,16,32,64,4,74548,1490.96,108.69388850136825,Success,
227,1,8,8,8,64,32,64,4,74548,1490.96,108.69388850136825,Success,
229,1,8,8,8,16,64,64,1,113931,2278.62,71.12122249431674,Success,
231,1,8,8,8,64,64,64,1,113931,2278.62,71.12122249431674,Success,
233,1,8,8,8,16,64,64,2,75768,1515.36,106.94372294372295,Success,
235,1,8,8,8,64,64,64,2,75768,1515.36,106.94372294372295,Success,
237,1,8,8,8,16,64,64,4,74548,1490.96,108.69388850136825,Success,
239,1,8,8,8,64,64,64,4,74548,1490.96,108.69388850136825,Success,
241,1,8,16,8,16,32,64,1,112475,2249.5,72.04189375416759,Success,
243,1,8,16,8,64,32,64,1,112475,2249.5,72.04189375416759,Success,
245,1,8,16,8,16,32,64,2,75668,1513.36,107.08505576994239,Success,
247,1,8,16,8,64,32,64,2,75668,1513.36,107.08505576994239,Success,
249,1,8,16,8,16,32,64,4,74508,1490.16,108.75224137005422,Success,
251,1,8,16,8,64,32,64,4,74508,1490.16,108.75224137005422,Success,
253,1,8,16,8,16,64,64,1,112475,2249.5,72.04189375416759,Success,
255,1,8,16,8,64,64,64,1,112475,2249.5,72.04189375416759,Success,
257,1,8,16,8,16,64,64,2,75668,1513.36,107.08505576994239,Success,
259,1,8,16,8,64,64,64,2,75668,1513.36,107.08505576994239,Success,
261,1,8,16,8,16,64,64,4,74508,1490.16,108.75224137005422,Success,
263,1,8,16,8,64,64,64,4,74508,1490.16,108.75224137005422,Success,
265,1,8,32,8,16,32,64,1,112295,2245.9,72.15737120976,Success,
267,1,8,32,8,64,32,64,1,112295,2245.9,72.15737120976,Success,
269,1,8,32,8,16,32,64,2,75504,1510.08,107.31765204492477,Success,
271,1,8,32,8,64,32,64,2,75504,1510.08,107.31765204492477,Success,
273,1,8,32,8,16,32,64,4,74428,1488.56,108.86913527167195,Success,
275,1,8,32,8,64,32,64,4,74428,1488.56,108.86913527167195,Success,
277,1,8,32,8,16,64,64,1,112295,2245.9,72.15737120976,Success,
279,1,8,32,8,64,64,64,1,112295,2245.9,72.15737120976,Success,
281,1,8,32,8,16,64,64,2,75504,1510.08,107.31765204492477,Success,
283,1,8,32,8,64,64,64,2,75504,1510.08,107.31765204492477,Success,
285,1,8,32,8,16,64,64,4,74428,1488.56,108.86913527167195,Success,
287,1,8,32,8,64,64,64,4,74428,1488.56,108.86913527167195,Success,
289,1,8,8,16,16,32,64,1,113931,2278.62,71.12122249431674,Success,
291,1,8,8,16,64,32,64,1,113931,2278.62,71.12122249431674,Success,
293,1,8,8,16,16,32,64,2,75104,1502.08,107.88922028121006,Success,
295,1,8,8,16,64,32,64,2,74828,1496.56,108.28716523226599,Success,
297,1,8,8,16,16,32,64,4,73596,1471.92,110.09989673351812,Success,
299,1,8,8,16,64,32,64,4,73052,1461.04,110.9197831681542,Success,
301,1,8,8,16,16,64,64,1,113931,2278.62,71.12122249431674,Success,
303,1,8,8,16,64,64,64,1,113931,2278.62,71.12122249431674,Success,
305,1,8,8,16,16,64,64,2,75104,1502.08,107.88922028121006,Success,
307,1,8,8,16,64,64,64,2,74828,1496.56,108.28716523226599,Success,
309,1,8,8,16,16,64,64,4,73596,1471.92,110.09989673351812,Success,
311,1,8,8,16,64,64,64,4,73052,1461.04,110.9197831681542,Success,
313,1,8,16,16,16,32,64,1,112475,2249.5,72.04189375416759,Success,
315,1,8,16,16,64,32,64,1,112475,2249.5,72.04189375416759,Success,
317,1,8,16,16,16,32,64,2,75104,1502.08,107.88922028121006,Success,
319,1,8,16,16,64,32,64,2,74788,1495.76,108.34508209873242,Success,
321,1,8,16,16,16,32,64,4,73596,1471.92,110.09989673351812,Success,
323,1,8,16,16,64,32,64,4,73052,1461.04,110.9197831681542,Success,
325,1,8,16,16,16,64,64,1,112475,2249.5,72.04189375416759,Success,
327,1,8,16,16,64,64,64,1,112475,2249.5,72.04189375416759,Success,
329,1,8,16,16,16,64,64,2,75104,1502.08,107.88922028121006,Success,
331,1,8,16,16,64,64,64,2,74788,1495.76,108.34508209873242,Success,
333,1,8,16,16,16,64,64,4,73596,1471.92,110.09989673351812,Success,
335,1,8,16,16,64,64,64,4,73052,1461.04,110.9197831681542,Success,
337,1,8,32,16,16,32,64,1,112295,2245.9,72.15737120976,Success,
339,1,8,32,16,64,32,64,1,112295,2245.9,72.15737120976,Success,
341,1,8,32,16,16,32,64,2,75104,1502.08,107.88922028121006,Success,
343,1,8,32,16,64,32,64,2,74708,1494.16,108.46110189002516,Success,
345,1,8,32,16,16,32,64,4,73596,1471.92,110.09989673351812,Success,
347,1,8,32,16,64,32,64,4,73052,1461.04,110.9197831681542,Success,
349,1,8,32,16,16,64,64,1,112295,2245.9,72.15737120976,Success,
351,1,8,32,16,64,64,64,1,112295,2245.9,72.15737120976,Success,
353,1,8,32,16,16,64,64,2,75104,1502.08,107.88922028121006,Success,
355,1,8,32,16,64,64,64,2,74708,1494.16,108.46110189002516,Success,
357,1,8,32,16,16,64,64,4,73596,1471.92,110.09989673351812,Success,
359,1,8,32,16,64,64,64,4,73052,1461.04,110.9197831681542,Success,
361,1,8,8,32,16,32,64,1,113931,2278.62,71.12122249431674,Success,
363,1,8,8,32,64,32,64,1,113931,2278.62,71.12122249431674,Success,
365,1,8,8,32,16,32,64,2,75104,1502.08,107.88922028121006,Success,
367,1,8,8,32,64,32,64,2,73324,1466.48,110.50831924063063,Success,
369,1,8,8,32,16,32,64,4,73596,1471.92,110.09989673351812,Success,
371,1,8,8,32,64,32,64,4,73052,1461.04,110.9197831681542,Success,
373,1,8,8,32,16,64,64,1,113931,2278.62,71.12122249431674,Success,
375,1,8,8,32,64,64,64,1,113931,2278.62,71.12122249431674,Success,
377,1,8,8,32,16,64,64,2,75104,1502.08,107.88922028121006,Success,
379,1,8,8,32,64,64,64,2,73324,1466.48,110.50831924063063,Success,
